lambda,tau,beta,log_lambda,log_tau,log_beta,Case,accept_frac
0.02764061371785363,1.4679055776770853,1.0469955810158829,-3.5884690763547287,0.3838366077402224,0.04592471126429033,First,0.6436527777777777
0.021583561748832598,0.8509421646830312,0.8077217507962976,-3.835823284169104,-0.16141111431281463,-0.21353764759562224,First,0.6436527777777777
0.021988076560326905,0.49013900035347313,0.9316668103643708,-3.8172549470757,-0.713066253914619,-0.0707800278238096,First,0.6436527777777777
0.028999646334717265,1.5620982954549572,1.1195179070432295,-3.540471644424604,0.4460299786660591,0.11289815250108007,First,0.6436527777777777
0.026095757532771748,0.9779950839332037,1.1083661306860046,-3.6459825245027235,-0.02225063561311935,0.10288697659828029,First,0.6436527777777777
0.023215880193646083,0.2545707816266331,0.9877893648953168,-3.7629187433616287,-1.3681763613194469,-0.012285797389010866,First,0.6436527777777777
0.024838803824921384,0.7267219622607712,1.0554422177299605,-3.6953481782727593,-0.3192113199079062,0.053959842828537614,First,0.6436527777777777
0.026928590455803356,1.7938668534858544,0.92631269087587,-3.6145667145680775,0.5843735432044401,-0.07654342220511495,First,0.6436527777777777
0.023506832451519074,0.3359861344266001,0.9025208064185769,-3.7504641574716353,-1.0906853864579216,-0.10256353483743584,First,0.6436527777777777
0.023278190638319693,0.577475013927176,0.9205694168815886,-3.760238380861052,-0.5490901034491535,-0.0827628690050587,First,0.6436527777777777
0.02302314206487359,0.9857610472282207,0.8747938848047544,-3.7712553921758705,-0.014341299360268178,-0.1337669805963276,First,0.6436527777777777
0.02309059889021467,0.4633614092549752,0.9747680026346921,-3.7683297187405476,-0.7692479478470083,-0.025555782313635027,First,0.6436527777777777
0.025640010268446953,0.9372171445398495,0.9514893815216384,-3.6636012464442973,-0.06484027915276905,-0.049726752033228364,First,0.6436527777777777
0.029129978623111626,0.5855358704380437,1.1834214299592538,-3.5359874418554975,-0.5352278331957842,0.1684097599010015,First,0.6436527777777777
0.02213818145071017,0.6204218389234367,0.8029936719716184,-3.8104514937061853,-0.4773556469398019,-0.21940844555008981,First,0.6436527777777777
0.024652514438253,0.5604510662465114,0.9976222851043903,-3.7028763780870153,-0.5790133440339957,-0.002380546148503887,First,0.6436527777777777
0.022827068237748764,0.6492780709921846,0.851064153054293,-3.7798082437804044,-0.4318941933443806,-0.16126776775740015,First,0.6436527777777777
0.02376887192794151,0.4592717713876933,0.9963658438995664,-3.739378456542607,-0.7781131496138305,-0.003640775688325021,First,0.6436527777777777
0.02398211794490207,0.3518537258475611,0.9254601851461759,-3.730446811977525,-1.0445397413189492,-0.07746416772521669,First,0.6436527777777777
0.023077009816447388,0.7913395635154542,0.9115517125376897,-3.7689184030818166,-0.2340281194929386,-0.09260695302487854,First,0.6436527777777777
0.02384214014724559,0.5258477328301188,0.9623455777566041,-3.736300669537108,-0.6427435894637913,-0.03838166438629913,First,0.6436527777777777
0.0240841736008648,1.1678473389302333,0.9405958581368801,-3.7262003512650406,0.15516217289296697,-0.061241712907548276,First,0.6436527777777777
0.022391645034454,0.3873048735757892,0.966681491689218,-3.799067379232344,-0.9485431090761318,-0.03388621556305455,First,0.6436527777777777
0.02530635013278552,0.7738581370792794,1.0148244006774298,-3.676699921351502,-0.25636670761852415,0.014715593268097904,First,0.6436527777777777
0.02127809720728959,0.6334081479387387,0.8358116646457794,-3.8500770354573044,-0.4566402811479918,-0.17935197280131715,First,0.6436527777777777
0.024033534159625707,1.7439286493025359,0.9198737722361182,-3.7283051672378464,0.5561404125526954,-0.08351882244356923,First,0.6436527777777777
0.024454641961998425,1.3486627155658069,0.9290120722222381,-3.710935225785033,0.2991135204383085,-0.07363354539563931,First,0.6436527777777777
0.030562614869279726,1.988980338551359,1.1945281247082684,-3.4879777532500693,0.6876221147306489,0.17775123267880716,First,0.6436527777777777
